timestamp(Asia/Seoul),score,temp(°C),humid,co2,voc,pm25,light,noise
2019-09-20 0:00,74,25.7,41,4459,533.8,0,349,50
2019-09-20 0:15,74,25.8,41.2,4348,530,0,158.9,49.9
2019-09-20 0:30,74.3,25.9,41.8,4168,522.5,0,0,49.9
2019-09-20 0:45,75,25.9,42.3,3991.1,514.6,0,0,50
2019-09-20 1:00,75,25.9,42.5,3946.6,512.3,0,0,50
2019-09-20 1:15,75,26,42.8,3769.3,504.5,0,0,50
2019-09-20 1:30,75,26,42.9,3773.3,505.7,0,0,50
2019-09-20 1:45,74.8,26,43.1,3717.7,502.4,0,0,49.9
2019-09-20 2:00,74.8,26,43.3,3599.4,496.4,0,0,50
2019-09-20 2:15,74.3,26.1,43.4,3483.3,488.7,0,0,49.9
2019-09-20 2:30,74.7,26.1,43.6,3375.2,484.2,0,0,50
2019-09-20 2:45,74.1,26.2,43.5,3253.5,477.7,0,0,49.9
2019-09-20 3:00,74.9,26.2,43.9,3144,470.1,0,0,50
2019-09-20 3:15,75.2,26.2,44.6,2920,451.1,0,104.7,52.1
2019-09-20 3:30,79.8,25.6,47.4,2230.2,368.7,0,350.1,51.9
2019-09-20 3:45,86.9,25,49,1274.9,229.4,0,188.2,52.3
2019-09-20 4:00,85.4,25.1,48.1,1417.5,286.6,0,0,50.1
2019-09-20 4:15,86.6,25.4,47.8,1277.5,264.1,0,0,50.1
2019-09-20 4:30,89.8,25.6,48.5,974.9,199.4,0,0,50
2019-09-20 4:45,93.4,25.7,49,684.6,143.9,0,0,50
2019-09-20 5:00,95.3,25.7,49.4,567.2,117.1,0,0,50.2
2019-09-20 5:15,96.7,25.7,49.7,497.9,97.5,0,0,50.2
2019-09-20 5:30,97,25.6,50,463.1,87.4,0,0,50.3
2019-09-20 5:45,97,25.5,50.4,437.4,79.6,0,0,50.2
2019-09-20 6:00,97,25.6,50.3,422.1,69.8,0,0,50.1
2019-09-20 6:15,96.9,25.7,50.1,400,55.4,0,0,50.2
2019-09-20 6:30,96.2,25.5,51.6,414,80.1,0,0.7,51.5
2019-09-20 6:45,96,25.3,53.2,420,94.9,0,3.4,52.1
2019-09-20 7:00,96,25.3,53.2,411.3,84.7,0,338.3,51.7
2019-09-20 7:15,96,25.2,53.3,408.7,75.7,0,370.1,51.7
2019-09-20 7:30,95.4,25.6,52.7,414.2,73.9,0,379.3,51.6
2019-09-20 7:45,95.1,25.6,52.8,431,80.2,0,387,51.6
2019-09-20 8:00,95,25.9,52.8,474.5,99.9,0,403.9,51.8
