timestamp(Asia/Seoul),temp(°C),humid,co2,voc,pm25,light,noise
2019-09-20 0:00,25.5,41.7,4262.3,613.6,5.6,395.1,50.4
2019-09-20 0:15,25.6,42,4190.8,612.9,5.7,179.9,50.2
2019-09-20 0:30,25.7,42.5,4045,586.6,6,0,50.2
2019-09-20 0:45,25.7,43,3881.4,575.3,6.1,0,50.2
2019-09-20 1:00,25.7,43.3,3797.8,570.8,6.1,0,50.2
2019-09-20 1:15,25.8,43.7,3646,560.2,6.4,0,50.2
2019-09-20 1:30,25.8,44,3529.4,552,6.7,0,50.2
2019-09-20 1:45,25.8,44.2,3417.8,545.3,7,0,50.2
2019-09-20 2:00,25.9,44.2,3345.7,541.3,7.2,0,50.2
2019-09-20 2:15,26,44.3,3244.2,533.6,7.2,0,50.2
2019-09-20 2:30,26,44.6,3158.1,526.4,7.3,0,50.2
2019-09-20 2:45,26,44.7,3051.5,516.3,7.5,0,50.2
2019-09-20 3:00,25.9,45.1,2886.5,498.7,7.8,0,50.3
2019-09-20 3:15,25.8,46.2,2776.9,490.4,8,118.6,52
2019-09-20 3:30,25.3,48.6,2294.8,428.2,8.9,396.8,52.3
2019-09-20 3:45,25.3,47.8,1509.2,294,12.6,213.7,52.7
2019-09-20 4:00,25.3,48.1,1290.4,276,12.9,0,50.5
2019-09-20 4:15,25.3,49,1045.7,225.1,13.4,0,50.4
2019-09-20 4:30,25.5,49.7,781.8,166.5,14,0,50.4
2019-09-20 4:45,25.5,50.1,596.8,116.3,14.5,0,50.3
2019-09-20 5:00,25.5,50.4,515.6,92.1,14.7,0,50.4
2019-09-20 5:15,25.5,50.8,455.3,66.1,15.4,0,50.5
2019-09-20 5:30,25.4,51,433,65.3,15.3,0,50.5
2019-09-20 5:45,25.4,51,411.9,48.5,15.6,0,50.5
2019-09-20 6:00,25.4,51.2,400.1,47.8,15.6,0,50.4
2019-09-20 6:15,25.5,51.1,400,50.2,15.5,0,50.4
2019-09-20 6:30,24.7,54.3,404.4,64.8,14.6,0.8,51.8
2019-09-20 6:45,24,57,408.1,72.2,13.8,3.4,51.5
2019-09-20 7:00,24,57.4,427.6,63,13.2,380.2,52
2019-09-20 7:15,24.1,57.1,429.8,45.6,12.9,416.2,51.7
2019-09-20 7:30,24.1,57.3,441.3,45.9,11.9,426,51.6
2019-09-20 7:45,24.2,57.4,458.3,48,11.8,434.6,51.8
2019-09-20 8:00,24.3,57.9,499.9,70.4,11.2,448.2,52.3
2019-09-20 8:15,24.4,58.1,554.8,91,11.1,453.2,52.3
2019-09-20 8:30,24.5,57.5,571.4,102.5,11.2,466.1,52.4
2019-09-20 8:45,24.4,56.7,612.1,96.4,11.2,448.5,52.2
2019-09-20 9:00,24.3,54.1,625.7,66.4,11.4,463.9,52.6
2019-09-20 9:15,24.3,53.3,645.6,83.5,10.8,525.5,52.3
2019-09-20 9:30,24.4,52.9,716.3,111.7,10.1,504.8,52.5
2019-09-20 9:45,24.5,52,811.4,130,9.5,486.9,53
2019-09-20 10:00,24.6,51.8,954.1,154.8,9.2,471.8,52.7
2019-09-20 10:15,25.9,50.3,1057,179,9.4,496,51.6
2019-09-20 10:30,26.5,51.3,1204.8,205.4,9.8,512.3,51.7
2019-09-20 10:45,26.9,52.7,1371.2,235.2,10.7,531.3,51.7
2019-09-20 11:00,26.5,54,1497.7,250.9,11.4,549.9,52.2
2019-09-20 11:15,24.2,53.1,1684.8,267.9,10.7,473.7,53.2
2019-09-20 11:30,25.4,46.3,1858.1,280.2,9.8,464.5,53.1
2019-09-20 11:45,24,48.5,1943,279,10.1,479.5,53.2
2019-09-20 12:00,25.4,48.8,1955.7,310.2,9.6,455,51.4
2019-09-20 12:15,26.4,49.2,1892.9,303.1,9.5,486.1,51.2
2019-09-20 12:30,26.7,49.9,1874.7,302.6,9.4,538,51.3
2019-09-20 12:45,26.2,51.3,1856.6,303.4,9.1,639.9,52.6
2019-09-20 13:00,26.2,47.4,2032.6,310.2,8.5,557.6,53.2
2019-09-20 13:15,26.2,44.3,2090.9,301,7.9,627.9,52.8
2019-09-20 13:30,26.1,43.7,2078.6,287.5,7.5,615.9,52.9
